# Start logging at 2023-08-03 08:55:58 CDT
[08:55:58] connected
[09:05:58] Redbeardy_McGee is live!
[09:05:58] 22 raiders from justzul have joined!
[09:06:00]  bunhara: go live
[11:04:02]  truesque: about chances of commn/uncommon/rare relics specifically not from chests
[11:04:14]  truesque: and it says 50/33/17 split
[11:04:32]  dr0gulus: they are all equally likely from calling bell based on my testing
[11:04:33]  truesque: maybe it just applies to everything?
[11:05:28]  apneaa: it is important to click your bell relics
[11:05:31]  apneaa: in the right order
[11:05:41]  apneaa: that is the order which blend their colors optimaly
[11:05:56]  apneaa: also calling bell is the highest skill ceiling relic in the entire game
[11:06:27]  apneaa: to properly use calling bell you gotta have mastery of the 1 octave piano
[11:06:40]  muirthemne: breakfast is the highest skill ceiling meal in the entire day
[11:07:40]  apneaa: i can eat breakfeast, i just wont enjoy it and i might un-eat it half an hour later
[11:07:45]  apneaa: so why bother
[11:08:02]  edlittle: seems like a larger problem lol
[11:08:47]  tubbiekim: "breakfast" foods at lunch hours is my go to move. I like to pretend that I'm a rich person that can just wake up at lunch time
[11:12:20]  captainfalcum: social constructs of meals
[11:12:39]  captainfalcum: eating regularly to fuel your body giga chad
[11:13:10]  apneaa: eating Sadge
[11:15:53]  captainfalcum: !sr wale roc boys
[11:15:54]  nightbot: @CaptainFalcum -> "Wale - The Freestyle (Roc Boys)" by ckuj has been added to the queue in position #1
[11:15:59]  muirthemne: SilentDash
[11:16:06]  muirthemne: SilentDash SilentDash
[11:16:56]  muirthemne: why do you have to put potions on your belt before drinking brioPout
[11:17:19]  captainfalcum: vidya game
[11:17:48]  captainfalcum: moneym59JAM
[11:17:52]  captainfalcum: moneym59JACKIE
[11:17:53]  muirthemne: belts are scams
[11:18:07]  muirthemne: pants should dangle around ankles as god intended
[11:18:53]  jguest05: oh shiii
[11:20:55]  captainfalcum: !sr de la soul roller skating jam named
[11:20:55]  nightbot: @CaptainFalcum -> "A Roller Skating Jam Named "Saturdays"" by De La Soul - Topic has been added to the queue in position #1
[11:21:54]  captainfalcum: moneym59JAM
[11:22:46]  nerdbusta1: wondering if we should have distilled when barri and shrug were in the draw pile
[11:25:29]  muirthemne: moneyJAM
[11:26:13]  captainfalcum: !sr Santana Europe audio
[11:26:14]  nightbot: @CaptainFalcum -> "Santana - Europa (HQ)" by Piero Rojas has been added to the queue in position #1
[11:26:22]  captainfalcum: !sr samba pa ti santana
[11:26:23]  nightbot: @CaptainFalcum -> "Samba Pa Ti" by Santana - Topic has been added to the queue in position #2
[11:26:57]  zipzap_fr: Hello everyone
[11:26:57]  bunhara: thank you for following @captainfalcum
[11:27:23]  bunhara: !sr rawhide frankie lane
[11:27:24]  nightbot: @Bunhara -> "Frankie Laine - Rawhide HQ" by TheGrayCat has been added to the queue in position #3
[11:27:37]  zipzap_fr: !mods
[11:27:37]  captainfalcum: !info dumhara
[11:27:44]  zipzap_fr: !info
[11:27:53]  truesque: wideVIBE
[11:27:57]  captainfalcum: !commandlist
[11:28:00]  captainfalcum: hehe
[11:28:22]  bunhara: !warning
[11:28:22]  nightbot: WARNING: This emote is unlisted. Either it hasn't yet been confirmed by a moderator, or the moderation team chose not to confirm this emote. As a result, we cannot guarantee it is safe to show on a livestream.
[11:28:37]  captainfalcum: WIDECATJAM
[11:30:59]  captainfalcum: moneym59JACKIE
[11:33:44]  captainnoobzor: hello birdchat
[11:34:20]  its_goddy: my captain
[11:34:26]  captainnoobzor: goddy
[11:34:45]  captainfalcum: moneym59JAM 2020Shred moneym59JAM 2020Shred
[11:36:43]  apneaa: @CaptainNoobzor i assume youre not playing another silent before the vacation?
[11:38:25]  truesque: is noobzor going to thailand
[11:40:49]  bunhara: catJAM
[11:40:52]  captainfalcum: @bunhara
[11:40:55]  captainfalcum: HYAYHHHHHHH
[11:40:56]  bunhara: HA
[11:41:07]  bunhara: KEEP THEM DOGIES ROLLIN
[11:41:13]  bunhara: dogieJAM
[11:41:26]  truesque: they are dough guts
[11:41:28]  truesque: because they eat bread
[11:41:42]  bunhara: HYAAAAHHH
[11:42:12]  captainfalcum: moneym59JAM
[11:42:21]  bunhara: bobby slam
[11:42:27]  bunhara: ROLLIN ROLLIN ROLLIN
[11:42:38]  bunhara: RAWHIDE
[11:45:31]  truesque: hidden regal pillow
[11:47:48]  jguest05: You and carl make me feel like I rush all my runs😂 no wonder I die more than norms. learnin a lot doe
[11:48:14]  bunhara: who tf is carl
[11:48:43]  captainnoobzor: @apneaa i wanted to get a run in today or tomorrow but probably won't
[11:48:55]  captainfalcum: Carl jr
[11:49:03]  captainnoobzor: also BG3 is out WIDEKREYGASM
[11:49:10]  bunhara: moneyJAM
[11:49:49]  captainnoobzor: i'm about to buy the game right now
[11:50:00]  captainnoobzor: well
[11:50:07]  captainnoobzor: if people are interested
[11:50:08]  captainnoobzor: i could
[11:50:27]  bunhara: !sr sonic fly in the freedom
[11:50:27]  nightbot: @Bunhara -> "Fly in the Freedom - Sonic Adventure 2 [OST]" by DeoxysPrime has been added to the queue in position #1
[11:51:47]  bunhara: !sr unknown from m.e.
[11:51:47]  apneaa: @jguest05 calling money carl monkaS
[11:51:47]  nightbot: @Bunhara -> "Unknown From M. E. by Marlon Saunders (Theme of Knuckles)" by blackblur7 has been added to the queue in position #1
[11:52:04]  jguest05: bro I wanted to say money but i totally blanked💀
[11:52:20]  captainfalcum: carl
[11:52:23]  apneaa: @jguest05 no no
[11:52:24]  bunhara: carl
[11:52:26]  apneaa: it's funny as fuck
[11:52:30]  apneaa: thats all
[11:52:30]  tubbiekim: carp
[11:52:32]  bunhara: its hilarious
[11:52:33]  captainfalcum: his name is carl
[11:52:35]  tubbiekim: Whoops carl
[11:52:40]  bunhara: !sr https://youtu.be/Guz40YVUAJE
[11:52:40]  nightbot: @Bunhara -> "「Breakcore」[cranky] Feline, the White..." by cold kiss sound has been added to the queue in position #2
[11:52:43]  apneaa: carl
[11:53:22]  theyarejo: Hammer? I hardly even know her!
[11:53:41]  muirthemne: PrideShrug
[11:54:17]  moneymoneyloot: first
[11:54:31]  captainfalcum: carl
[11:54:40]  tubbiekim: carl
[11:54:45]  jguest05: sup carl
[11:54:55]  moneymoneyloot: plz guys carl is my father
[11:54:57]  bunhara: the junior
[11:54:58]  moneymoneyloot: its carl jr
[11:55:10]  captainfalcum: hello Carlos @moneymoneyloot
[11:56:06]  jguest05: feed us
[11:57:17]  truesque: I feel like the frozen egg was laid by a bird
[11:57:23]  truesque: but the molten and toxic weren't
[11:57:59]  moneymoneyloot: wrong
[11:58:05]  truesque: oh
[11:58:06]  truesque: okay :D
[11:58:09]  moneymoneyloot: frozen egg was laid by an icicle lizard
[11:58:13]  truesque: holy
[11:58:25]  truesque: I felt like the toxic egg was like a turtle egg
[11:58:28]  captainfalcum: molten laid by Carl
[11:58:33]  truesque: and molten is some land lizard
[12:00:02]  apneaa: pog it's carl
[12:00:14]  captainfalcum: @truesque  @CaptainFalcum  i only make it to act 3 when im lucky (or have tons of power cards - and then icicle lizard with his two caw caw friends fuck me up)
[12:00:29]  moneymoneyloot: plz stop talking about my dad
[12:00:36]  truesque: holy
[12:00:38]  jguest05: hes a good man
[12:00:42]  truesque: fuckin icicle lizard
[12:00:52]  captainfalcum: lore moneym59JACKIE
[12:01:17]  truesque: wait a second
[12:01:17]  bunhara: does this guy ever stop talking
[12:01:30]  truesque: I always thought it was like a flame thing
[12:01:33]  captainnoobzor: pls sing
[12:01:35]  truesque: I can't unsee it now
[12:01:36]  truesque: it's so fucked up
[12:02:13]  bunhara: why doesnt chosen show up in act 3 hallways
[12:02:13]  moneymoneyloot: i think beardy is an underrated streamer. he talks to chat more than he plays the actual game and wins every single time
[12:02:36]  captainfalcum: hey guys I just reached the ascension level 5 on the silent. been having a lot of fun with this game. I think I might be addicted! :)
[12:02:41]  truesque: I deeply regret wondering why the fusion hammer icon wasn't a hammer
[12:02:53]  muirthemne: coxFeedMe
[12:02:54]  bunhara: well why isnt it
[12:03:00]  truesque: it is WIDESADGE
[12:03:14]  bunhara: conflicting information
[12:03:23]  truesque: this game is about uncertainty bun
[12:03:33]  captainfalcum: troosk pls save the dumb takes for @bunhara
[12:03:35]  nerdbusta1: @truesque fusion hammer looks like an upside hammer to me
[12:03:47]  truesque: it is an upside down hammer
[12:03:50]  truesque: but I never saw that
[12:03:50]  moneymoneyloot: i would not use that thing to set a nail
[12:04:09]  truesque: I always thought it was just like the fire that came up from a forge when you were using the hammer or something
[12:04:16]  moneymoneyloot: worst hammer I've ever seen
[12:04:19]  truesque: my day is ruined
[12:04:22]  bunhara: well duh
[12:04:29]  bunhara: thats why you cant upgrade with it @moneymoneyloot
[12:04:34]  bunhara: stupid
[12:04:39]  muirthemne: makes sense
[12:04:40]  truesque: wait
[12:04:46]  captainfalcum: !sr hammer time audio
[12:04:48]  nightbot: @CaptainFalcum -> "MC Hammer - U Can't Touch This (HQ)" by UselezzUtuber has been added to the queue in position #1
[12:04:48]  truesque: and you can't upgrade because you're using the hammer to fight
[12:04:52]  muirthemne: TPOG
[12:04:53]  truesque: rather than using the hammer to upgrade cards
[12:04:57]  truesque: why does it make so much sense
[12:04:59]  nerdbusta1: troosk actually could be right. A powerful force of energy so strong striking the ground and acting as a hammer
[12:05:00]  muirthemne: HOLY
[12:05:12]  bunhara: where does it imply you're using the hammer to fight
[12:05:21]  truesque: I just implied it @Bunhara
[12:05:24]  truesque: pay attention
[12:05:43]  bunhara: i just interpret it as it being too hot to use
[12:05:58]  bunhara: oh wait it says you cant let it go
[12:06:01]  truesque: Once wielded the owner can never let go
[12:06:05]  truesque: so you can't use it to upgrade
[12:06:06]  truesque: holy
[12:06:08]  truesque: I don't know
[12:06:17]  truesque: and harder to sleep
[12:06:17]  bunhara: that description fucking kirs
[12:06:19]  truesque: holding the hammer
[12:06:19]  bunhara: lies
[12:06:29]  moneymoneyloot: kirs
[12:06:29]  bunhara: you can lose it to nloth
[12:06:33]  bunhara: and you lose it on death
[12:06:37]  moneymoneyloot: NECEO
[12:06:38]  bunhara: therefore it can be let go
[12:06:42]  bunhara: whats the fucking truth
[12:07:02]  captainnoobzor: @truesque well that doesnt make sense
[12:07:05]  bunhara: @moneymoneyloot carl sr will die by my hand
[12:07:07]  captainnoobzor: you use a hammer to smith
[12:07:10]  jguest05: this relic has more meaning than me
[12:07:16]  truesque: @captainnoobzor exactly
[12:07:19]  truesque: so why can't you upgrade
[12:07:34]  truesque: or is it because you can't pick up the smithing hammer
[12:07:36]  bunhara: fusion hammer fucking sucks it makes no sense
[12:07:47]  truesque: i hate fusion hammer now
[12:07:53]  truesque: I will never pick it again
[12:07:54]  muirthemne: D:
[12:07:56]  captainnoobzor: fusion hammer should let you fuse cards instead of upgrading them
[12:08:02]  truesque: holy
[12:08:03]  bunhara: TRUE
[12:08:04]  truesque: that would be sick
[12:08:08]  bunhara: oh god
[12:08:09]  its_goddy: it's a smithing hammer.  shouldn't it benefit you at rest sites??
[12:08:12]  bunhara: i want to play soire with friends
[12:08:17]  muirthemne: more like False Advertising Hammer
[12:08:20]  captainnoobzor: i upgrade defend and strike into iron wave at the rest site
[12:08:38]  its_goddy: @bunhara would love a team versus, i'd be down
[12:08:43]  apneaa: event that turn all strikes and defends to 5 ironwaves
[12:08:44]  apneaa: Kreygasm
[12:08:48]  apneaa: Kreygasm Kreygasm Kreygasm Kreygasm
[12:08:51]  bunhara: ive never played the versus mode
[12:08:58]  bunhara: i just like playing with the fuse cards
[12:09:06]  muirthemne: maybe you traded your useful upgrade hammer for a cool Weeb Hammer
[12:09:16]  muirthemne: it gives u inspiration and energy
[12:09:25]  muirthemne: but no good for actual hammering
[12:09:28]  bunhara: i think its just bingo?
[12:09:31]  bunhara: no idea
[12:09:39]  moneymoneyloot: lets swf
[12:09:43]  muirthemne: bingo
[12:09:49]  bunhara: swf right fucking now
[12:09:54]  moneymoneyloot: noobzor lets go
[12:10:04]  truesque: i am down to swf
[12:10:06]  moneymoneyloot: should we wait for beardamid to finish his run
[12:10:08]  bunhara: oh god i gotta get up
[12:10:12]  captainfalcum: the troosk song
[12:10:16]  captainfalcum: moneym59JACKIE moneym59JAM moneym59JACKIE moneym59JAM moneym59JACKIE moneym59JAM
[12:10:28]  moneymoneyloot: it was a good run o7
[12:10:33]  bunhara: o7
[12:10:33]  apneaa: moneyJAM moneyJAM moneyJAM moneyJAM
[12:10:37]  truesque: I'm invested in the fusion hammer
[12:10:37]  captainnoobzor: i have never played swf sounds good
[12:10:45]  truesque: how does fusion hammer work with inflame
[12:10:51]  its_goddy: i'm presenting at work, i wish i could join :(
[12:10:59]  bunhara: just click
[12:10:59]  truesque: kil
[12:11:01]  captainfalcum: speedrun
[12:11:02]  bunhara: brain dead character
[12:11:07]  moneymoneyloot: then we swf
[12:11:13]  apneaa: monkaNAVIGATE monkaNAVIGATE monkaNAVIGATE monkaNAVIGATE
[12:11:14]  apneaa: monkaNAVIGATE monkaNAVIGATE monkaNAVIGATE monkaNAVIGATE monkaNAVIGATE monkaNAVIGATE monkaNAVIGATE monkaNAVIGATE monkaNAVIGATE monkaNAVIGATE monkaNAVIGATE monkaNAVIGATE
[12:11:16]  apneaa: monkaNAVIGATE monkaNAVIGATE monkaNAVIGATE monkaNAVIGATE monkaNAVIGATE monkaNAVIGATE monkaNAVIGATE monkaNAVIGATE monkaNAVIGATE monkaNAVIGATE monkaNAVIGATE monkaNAVIGATE monkaNAVIGATE monkaNAVIGATE monkaNAVIGATE monkaNAVIGATE
[12:11:18]  apneaa: monkaNAVIGATE monkaNAVIGATE monkaNAVIGATE monkaNAVIGATE monkaNAVIGATE monkaNAVIGATE monkaNAVIGATE monkaNAVIGATE monkaNAVIGATE monkaNAVIGATE monkaNAVIGATE monkaNAVIGATE monkaNAVIGATE monkaNAVIGATE monkaNAVIGATE monkaNAVIGATE monkaNAVIGATE monkaNAVIGATE
[12:11:19]  apneaa: monkaNAVIGATE monkaNAVIGATE monkaNAVIGATE monkaNAVIGATE monkaNAVIGATE monkaNAVIGATE monkaNAVIGATE monkaNAVIGATE
[12:11:28]  nerdbusta1: you guys should play the spire board game on table top simulator
[12:11:32]  bunhara: dr0gulNAVIGATE dr0gulNAVIGATE dr0gulNAVIGATE dr0gulNAVIGATE dr0gulNAVIGATE dr0gulNAVIGATE dr0gulNAVIGATE dr0gulNAVIGATE dr0gulNAVIGATE dr0gulNAVIGATE dr0gulNAVIGATE dr0gulNAVIGATE dr0gulNAVIGATE dr0gulNAVIGATE
[12:11:46]  bunhara: i have literally no interest in the board game GIGACHAD
[12:11:46]  apneaa: click this godamn inflame quick quick quick quick qucik, lantern us monkaGIGA
[12:11:51]  moneymoneyloot: monkaNAVIGATE monkaNAVIGATE monkaNAVIGATE monkaNAVIGATE monkaNAVIGATE monkaNAVIGATE monkaNAVIGATE monkaNAVIGATE monkaNAVIGATE monkaNAVIGATE monkaNAVIGATE monkaNAVIGATE monkaNAVIGATE monkaNAVIGATE monkaNAVIGATE monkaNAVIGATE monkaNAVIGATE monkaNAVIGATE
[12:11:52]  apneaa: monkaNAVIGATE
[12:11:55]  moneymoneyloot: monkaNAVIGATE monkaNAVIGATE monkaNAVIGATE monkaNAVIGATE monkaNAVIGATE monkaNAVIGATE monkaNAVIGATE monkaNAVIGATE monkaNAVIGATE monkaNAVIGATE monkaNAVIGATE monkaNAVIGATE monkaNAVIGATE monkaNAVIGATE monkaNAVIGATE monkaNAVIGATE monkaNAVIGATE monkaNAVIGATE 󠀀
[12:12:02]  truesque: 0
[12:12:03]  captainfalcum: moneym59JAM moneym59JAM moneym59JAM moneym59JAM moneym59JAM moneym59JAM moneym59JAM moneym59JAM moneym59JAM moneym59JAM moneym59JAM
[12:12:05]  truesque: perfect gold utilizatino
[12:12:07]  captainfalcum: moneym59SHAKE
[12:12:13]  moneymoneyloot: moneym59JACKIE
[12:12:19]  moneymoneyloot: AlienDance
[12:12:27]  captainfalcum: dr0gulFruitRave
[12:12:36]  bunhara: impatience suggs
[12:12:51]  its_goddy: downloading spire with friends.
[12:13:03]  moneymoneyloot: monkaNAVIGATE monkaNAVIGATE monkaNAVIGATE monkaNAVIGATE monkaNAVIGATE monkaNAVIGATE monkaNAVIGATE monkaNAVIGATE monkaNAVIGATE monkaNAVIGATE monkaNAVIGATE monkaNAVIGATE monkaNAVIGATE monkaNAVIGATE monkaNAVIGATE monkaNAVIGATE monkaNAVIGATE monkaNAVIGATE
[12:13:13]  bunhara: how many people do we have playing
[12:13:18]  captainfalcum: 69
[12:13:38]  its_goddy: @CaptainNoobzor you need to know that you have to play fast
[12:13:57]  bunhara: no you do not if kiro is anything to go by
[12:13:59]  bunhara: kuro
[12:14:24]  captainnoobzor: @its_goddy LUL
[12:14:25]  moneymoneyloot: i have 3.2 is that the latest
[12:14:38]  bunhara: good question
[12:14:55]  captainnoobzor: swf is happening after this run?
[12:15:04]  bunhara: yeag
[12:15:18]  captainnoobzor: @its_goddy dont worry im fast when i dont stream
[12:16:30]  muirthemne: why is Bludgeon card a hammer
[12:16:41]  bunhara: bludgeon prevents upgrades
[12:16:46]  captainnoobzor: bludgeon should cost 4 energy
[12:16:52]  captainnoobzor: to make sure that you need a fusion hammer in order to play it
[12:17:00]  truesque: bludgeon should cost 1 less for each attack you've played this combat
[12:17:00]  bunhara: holy
[12:17:23]  bunhara: bludgeon should cost 1 more for each attack youve played this combat
[12:17:37]  muirthemne: bludgeon deal more damage for each hammer
[12:18:01]  truesque: the number on every hammer is increased by 3
[12:18:03]  moneymoneyloot: where is the mace from bash
[12:18:05]  truesque: fusion hammer gives 4 energy a turn
[12:18:16]  moneymoneyloot: do torchheads use mace?
[12:18:16]  bunhara: bludgeon being hammer gets weirder when you realize clad doesnt fucking use a hammer outside of bludgeon
[12:18:17]  truesque: @moneymoneyloot do not ask
[12:18:23]  truesque: do NOT ask where the mace is
[12:18:27]  bunhara: @moneymoneyloot those are his balls
[12:18:43]  muirthemne: brioWorry
[12:21:13]  moneymoneyloot: devastation
[12:21:15]  moneymoneyloot: lets go
[12:21:24]  truesque: oh no
[12:21:29]  truesque: fusion hammer did not provide
[12:22:01]  bunhara: @captainnoobzor make sure to turn your other mods off
[12:22:12]  captainnoobzor: just turn on basemod and stslib i assume?
[12:22:30]  captainnoobzor: o k
[12:22:33]  truesque: stuff like relic stats and run history+ don't break anything I think
[12:22:42]  bunhara: we doin this in beardy or money's disc
[12:23:00]  bunhara: i see money in the hearth
[12:23:00]  moneymoneyloot: im down for either
[12:23:02]  moneymoneyloot: Adge
[12:23:07]  moneymoneyloot: im in beardcord
[12:23:15]  captainnoobzor: !discord
[12:23:16]  nightbot: Join us over at "The Hearth" to chat up about Spire and other games, discover more Spire homies, and just have a good time!: https://discord.gg/wXdK2gbdmt
[12:26:14]  moneymoneyloot: ads just ended
[12:26:16]  moneymoneyloot: im in the hearth
[12:26:21]  moneymoneyloot: i have a game open
[12:26:23]  moneymoneyloot: ronniesins
[12:26:27]  bunhara: get tje fuck in here
[12:27:30]  muirthemne: holy
[12:27:47]  apneaa: money discord voice Kreygasm
[12:28:15]  apneaa: it's sureal to hear money's voice without some banger track in the background
[12:28:19]  apneaa: feel unatural
[12:29:43]  apneaa: hi jason
[12:29:43]  redbeardy_mcgee: i can see them talking through obs but my headphones can't hear it
[12:30:01]  captainnoobzor: what if we were pranking you
[12:30:03]  captainnoobzor: monkaS
[12:30:13]  truesque: monkaS
[12:30:30]  apneaa: @Redbeardy_McGee are you sure you havent gone spontaneously deaf?
[12:30:31]  muirthemne: monkaS
[12:30:43] 61 raiders from foxdrop have joined!
[12:30:46]  jaggler: foxxyRaid
[12:30:50]  its_goddy: dox'd
[12:30:53]  itsflofloflofloflofloflo: FOXY RAID LETS GOOOOO
[12:30:55]  vampyricon: foxxy RAID
[12:30:57]  apneaa: @its_goddy hello jason
[12:31:00]  foxdrops_fangrill: foxxyRaid foxxyRaid foxxyRaid foxxyRaid foxxyRaid foxxyRaid foxxyRaid
[12:31:00]  vampyricon: foxyRAID
[12:31:06]  vampyricon: i can't spell
[12:31:07]  muirthemne: redbea13StickL redbea13Cultist redbea13StickR
[12:31:08]  vampyricon: foxxyRAID
[12:31:19]  vampyricon: foxxyRaid there we go
[12:31:24]  its_goddy: i expect knocking at my door any second.  forgot this uses steam profile names
[12:31:33]  itsflofloflofloflofloflo: I'm so excited to see some 6 player a20 co op
[12:31:36]  foxdrops_fangrill: Yep, Foxxy has been climbing with Watcher, hit A10 today.
[12:31:41]  truesque: Murder Cat is your legal name?
[12:31:42]  apneaa: @its_goddy i'm already there
[12:32:02]  muirthemne: @truesque it's Mr Murder cat
[12:32:06]  truesque: holy
[12:32:17]  foxdrops_fangrill: Good luck with the stream, I need to go get some food!! :D
[12:32:23]  foxdrops_fangrill: foxxyH baii
[12:32:25]  sycocell: swf is very fun!
[12:32:37]  itsflofloflofloflofloflo: I literally just got spire with friends 4 days ago, it's amazing. I'm trying to drag my bf up the spire
[12:33:43]  bunhara: my mic wont fucking pick up any input FallCry
[12:33:49]  moneymoneyloot: sometimes on disc you have to switch to the wrong source then back to your headphones
[12:33:55]  its_goddy: what's that?  i can't hear you
[12:35:11]  muirthemne: monkaS
[12:35:23]  moneymoneyloot: average linux enjoyer
[12:38:06]  itsflofloflofloflofloflo: Pro tip: learn what an alpaca looks like. Capcha or not they're adorable
[12:38:18]  itsflofloflofloflofloflo: And they spit at people they dislike, which is a vibe
[12:38:24]  muirthemne: hello
[12:38:37]  muirthemne: TPOG
[12:38:51]  muirthemne: icearcGuns
[12:39:05]  itsflofloflofloflofloflo: You sound echoey/heavenly
[12:39:27]  muirthemne: brioPrayge
[12:41:12]  firstdane: "hey dane want to play slay the spire with me?" -nobody
[12:41:41]  muirthemne: hey dane want to watch beardy play spire with other people, with me?
[12:41:56]  firstdane: no its fine ill warm up the bench
[12:42:17]  muirthemne: (please dont cry dane ill be your friend)
[12:42:55]  itsflofloflofloflofloflo: Hey dane, wanna watch beardy play spire with me and NOBODY ELSE? We can make our own viewing party with blackjack and hookers
[12:43:54]  firstdane: 🥲
[12:44:02]  apneaa: IN FACT
[12:44:06]  apneaa: forget the beardy stream
[12:46:00]  firstdane: beardy what happened to your mic it sounds way off
[12:47:45]  apneaa: @FirstDane the power of linux
[12:47:48]  itsflofloflofloflofloflo: Are yall using friendly seed fix, or is it locked in that you're all getting toxic eggs?
[12:48:29]  firstdane: @apneaa lmao penguin gang strikes again
[12:51:48]  itsflofloflofloflofloflo: I am taking it from this scouting that there's no seed fix. Which is it's own kind of cool :)
[12:55:45]  itsflofloflofloflofloflo: I respect seed fixing and not seed fixing, they're just very different games is all :D
[12:57:43]  wavynarrati4: Hi. I want to offer promotion of your channel, viewers, followers, views, chat bots. The price is lower than any competitor, the quality is guaranteed to be the best. Auto-on. Incredibly flexible and convenient order management panel, everything is in your hands, turn it on/off/customize. Go to dghype . com
[12:57:49]  apneaa: pog
[12:57:50]  apneaa: a BOT
[12:57:54]  apneaa: it's been a YEAR
[12:57:59]  apneaa: since i saw one of those bad boys
[12:58:07]  apneaa: @Redbeardy_McGee want famous?
[12:59:45] redbeardy_mcgee banned wavynarrati4 
[13:05:22]  itsflofloflofloflofloflo: !lurk
[13:05:58]  nerdbusta1: can money send the loud pack?
[13:06:27]  muirthemne: moneyJAM
[13:10:38]  leprochauninja: whoa a spire with friends stream
[13:11:12]  leprochauninja: beardy why does your mic sound weird
[13:14:58]  palatium_kitten: what kind of mod combo it is?
[13:15:35]  redbeardy_mcgee: This is just Spire With Friends by Chronometrics
[13:15:51]  redbeardy_mcgee: my discord is bugged so my mic is bad
[13:15:58]  leprochauninja: give everyone feed and then get the shared health relic later
[13:16:03]  muirthemne: redbea13Bouldy
[13:32:02]  muirthemne: PETTHEMERCHANT
[13:34:18]  muirthemne: DinoDance any dinojammers?
[13:56:02]  dr0gulus: whoa
[13:56:12]  dr0gulus: spring with friends
[13:56:51]  muirthemne: *spring without dr0g and dane
[14:00:44]  dr0gulus: bukhara's steam profile pic is so bad
[14:00:46]  dr0gulus: i hate it
[14:00:48]  dr0gulus: the worst pokemon
[14:04:33]  bunhara: dr1g is gone
[14:04:35]  bunhara: WIDESADGE
[14:04:43]  muirthemne: BatChest
[14:05:13]  dr0gulus: @muirthemne remind me to ban you next stream
[14:05:25]  muirthemne: monkaS
[14:05:35]  muirthemne: how will i remind u if im banned?
[14:06:08]  muirthemne: WHO WILL PIN brioBounce DinoDance brioBounce ???
[14:12:43]  oohbleh: I've heard of pronouns before, nice
[14:12:54]  muirthemne: hbwaa DinoDance
[14:13:36]  oohbleh: @muirthemne oohbleHBWAA oohbleHBWAA oohbleHBWAA oohbleHBWAA oohbleHBWAA
[14:13:56]  muirthemne: sy1vieWOW
[14:18:03]  leprochauninja: out of all the spire mobs, darklings is probably the most fitting description of chat
[14:18:34]  muirthemne: you have to kill all of chat in order to silence an individual?
[14:18:45]  leprochauninja: yes
[14:18:54]  oohbleh: We are STILL in the coliseum fight
[14:24:11]  itsflofloflofloflofloflo: Reroll for strawberry!
[14:25:27]  itsflofloflofloflofloflo: Strawb hording lol
[14:27:08]  itsflofloflofloflofloflo: Man has 7 non boss relics and not one of the 4 strawbs showed up lol
[14:31:14]  glint0: Are we racing or spiring with friends?
[14:31:37]  glint0: oh nvm, definitely spire with friends lol
[14:31:41]  glint0: tell bunhara they're a goober
[14:32:05]  muirthemne: monkaS
[14:32:29]  muirthemne: as your unscrupulous lawyer i reccomend pleading the fifth, bun
[14:32:54]  muirthemne: *twirls moustache
[14:33:11]  jjankoviak1: Hello redbeardy and friends! How are you all doing today?
[14:33:15]  oohbleh: that was so many card names, it's gotta be an MLM
[14:33:22]  marthmacqueen: !pronouns
[14:33:22]  nightbot: Automatically share your pronouns as a chat badge: https://pronouns.alejo.io/ -- Don't forget the extension for Firefox ( https://pronouns.alejo.io/firefox ) or Chrome ( https://pronouns.alejo.io/chrome )!
[14:36:00]  muirthemne: its not the size of the relic bar
[14:37:05]  leprochauninja: I need it
[14:37:07]  leprochauninja: give it to me
[14:37:58]  glint0: I ain't afraid of no nuts
[14:45:52]  glint0: any yah wurm enjoyers in chat
[14:52:42]  muirthemne: wormJAM
[14:53:28]  muirthemne: GIGACHAD
[14:54:56]  glint0: probably involves pray
[14:55:02]  glint0: I've seen some miserable pray infinites
[14:55:47]  glint0: Where like pray goes infinite, block neutral, and gaining 1/3rd an energy per 5 card plays vs the heart
[14:57:45]  glint0: Ranwid just gave me bronze scales for a thorns potion lol
[14:58:46]  captainnoobzor: shouldve given him ghost in a jar for incense burner
[14:59:49]  glint0: @captainnoobzor I'm SUCH AN IDIOT
[15:00:03]  glint0: Easy breeze act 2 cover girl
[15:01:35]  its_goddy: easy breezy beautiful
[15:02:38]  glint0: Imagine defect with piercing wial
[15:02:40]  glint0: wail*
[15:05:54]  captainnoobzor: twitch chat cannot see the letter opener infinite
[15:05:55]  captainnoobzor: monkaS
[15:06:03]  muirthemne: mouseW
[15:07:10]  glint0: Dual wield, recycle, masterful stab, get stab cost to 7 = INFINITE ENREGY
[15:07:36]  paparatto18: kil
[15:08:58]  leprochauninja: recall again
[15:09:41]  stupidketchup: howdy. gl gl
[15:14:46]  its_goddy: i am jason if there's confusion
[15:15:46]  muirthemne: lik
[15:17:27]  apneaa: wait
[15:17:31]  apneaa: is goddy getting shafted?
[15:17:36]  apneaa: monkaS
[15:17:59]  apneaa: @its_goddy it was you asking for rare right monkaS
[15:18:06]  nerdbusta1: does everyone have to beat the heart to win?
[15:18:12]  apneaa: @nerdbusta1 ye
[15:18:22]  nerdbusta1: CaitlynS
[15:20:51]  captainnoobzor: bunhara has -14 fogus
[15:20:53]  captainnoobzor: WIDEKREYGASM
[15:21:07]  muirthemne: a f o g u s SusDance
