# Start logging at 2023-08-13 09:19:13 CDT
[09:19:13] connected
[09:19:15] Message history service recovering, there may be gaps in the message history.
[09:21:13] Redbeardy_McGee is live!
[09:21:32]  moneymoneyloot: first
[13:26:53]  eggzu_: oh wait i have a2 on ironclad
[13:27:07]  eggzu_: and a1 on silent and defect
[13:27:38]  thederkus: I find a1 to be easier than  a0
[13:27:45]  thederkus: bc more elities but the elites aren't tougher
[13:27:51]  eggzu_: i dont remember it was a while ago x) but probably i didn't feel like i was improving
[13:30:48]  eggzu_: i will do some more gaming
[13:30:56]  eggzu_: but i'm basically back at square one lol
[13:31:10]  eggzu_: i do want a new game to get into and sts has the kind of depth i want
[13:32:18]  eggzu_: plasma shrimp is just +40% dmg per stack
[13:32:36]  leprochauninja: risk of the rain
[13:32:39]  eggzu_: atg is +300% dmg per stack
[13:32:44]  eggzu_: but 10% of the time
[13:32:57]  eggzu_: plasma shrimp printer :O
[13:33:05]  leprochauninja: plasma shrimp sounds better
[13:33:05]  eggzu_: 100% proc with shields up
[13:33:13]  eggzu_: plasma shrimp makes crunchy noice
[13:34:06]  eggzu_: you might as well print all items into that printer
[13:34:13]  eggzu_: insta win
[13:35:35]  leprochauninja: the instincts of a predator
[13:42:25]  eggzu_: dinner has joined the party
[13:42:49]  eggzu_: holy shit scorpoin
[13:43:52]  lostnight512: amazing combo here
[13:43:55]  eggzu_: you could ghet rid of bandolier and berserker's pauldron
[13:45:53]  eggzu_: pauldron i always scrap tbh
[13:46:00]  eggzu_: bandolier is useless vs mithrix is why i'd get rid
[13:46:04]  eggzu_: i like to overkill mithrix
[13:47:31]  eggzu_: straight to the big man
[13:47:49]  eggzu_: always straight to the big man
[13:47:53]  eggzu_: (imo)
[13:48:56]  eggzu_: idk if you remember but scorpion is insane
[13:49:35]  thederkus: we be zoomin
[13:52:33]  eggzu_: the crit flurry plasma shrimp goes hard
[13:54:43]  eggzu_: pillars dviperDead
[13:59:22]  eggzu_: repeat question?
[13:59:42]  eggzu_: i'd take preon if it's the only dmg equipment
[13:59:53]  eggzu_: very good with 9 plasma shrimps
[14:00:20]  eggzu_: card so you can get monster tooth focus crsystal instead of just focus crystal
[14:00:34]  eggzu_: sawblade is very very strong
[14:00:43]  6thmoon: damn yo haven't seen you on this category in a while
[14:00:56]  6thmoon: also 'sup Egg
[14:01:42]  apneaa: but vm hasn't
[14:02:04]  6thmoon: yeah I get that, play much of the DLC though?
[14:02:09]  apneaa: he is on e 3-4-5 around
[14:02:09]  eggzu_: @6thmoon eggzuWave hey moon
[14:02:10]  apneaa: that
[14:02:55]  eggzu_: preon will probably wipe most of phase 1 mithrix
[14:03:31]  apneaa: bless u
[14:03:33]  apneaa: also
[14:03:39]  apneaa: i have done my blood test
[14:03:41]  apneaa: for allergies
[14:03:47]  apneaa: awaiting result
[14:05:48]  eggzu_: bottled chaos preon skip
[14:05:52]  eggzu_: it'll only take 2 and a half hours
[14:06:15]  eggzu_: laser scope is huge
[14:06:21]  eggzu_: if you have scrap
[14:06:44]  eggzu_: tbh laser scope is huge without scrap
[14:06:50]  eggzu_: but i'd do pillars first
[14:06:58]  eggzu_: because feather nice
[14:08:17]  apneaa: i see so red for you my pillar
[14:26:13] Redbeardy_McGee is now offline.
