# Start logging at 2023-07-19 10:33:46 CDT
[10:33:46] disconnected
[10:33:46] Wednesday, July 19, 2023
[10:33:51] Message history service recovering, there may be gaps in the message history.
# Start logging at 2023-07-19 14:16:51 CDT
[14:16:51] connected
[15:52:21] Redbeardy_McGee is live!
[15:52:57]  captainfalcum: what the heck
[17:29:05]  zyzzyvivification: Now is it true that if you were really scary your name would be Dreadbeardy?
[17:29:39]  zyzzyvivification: I suggest that bread is the least scary food.
[17:31:37]  a_snail_chosen_at_random: cous-cous is less scary
[17:32:08]  zyzzyvivification: You'll have Fledbready.
[17:33:26]  zyzzyvivification: !sr Portsmouth Sinfonia - Dance of the Sugarplum Fairy
[17:33:26]  nightbot: @zyzzyvivification -> "Portsmouth Sinfonia - Dance of the Sugarplum Fairy" by HoHoHorribleXmas has been added to the queue in position #4
[17:34:01] a_snail_chosen_at_random: Donated USD 25 to support The Trevor Project
[17:34:18]  bunhara: monkaGIGA
[17:34:22]  zyzzyvivification: PridePog
[17:34:22]  a_snail_chosen_at_random: ?????????/
[17:34:32]  zyzzyvivification: Look what you've done.
[17:34:59]  zyzzyvivification: Yeah, that was all me.
[17:35:05]  zyzzyvivification: Thank you for thanking me.
[17:35:07]  a_snail_chosen_at_random: gj zyzzy
[17:35:10]  zyzzyvivification: I gave you so much money.
[17:37:07]  zyzzyvivification: I'm always here to help!
[17:38:08]  zyzzyvivification: Going straight is definitely incorrect.
[17:38:24]  a_snail_chosen_at_random: usually yeah
[17:38:56]  zyzzyvivification: Spire is very rude.
[17:39:31]  zyzzyvivification: Oh hey it's my beautiful song.
[17:40:24]  zyzzyvivification: It's vintage.
[17:43:37]  leprochauninja: you don't have any buffers though
[17:44:14]  leprochauninja: that's why you have to block the stupid way
[17:44:45]  zyzzyvivification: If only you had more strength you would be buffer.
[17:45:38]  zyzzyvivification: Boot value!
[17:47:49]  leprochauninja: those strikes are dummy thicc though
[17:48:54]  leprochauninja: they would be if you had more strike dummies
[17:48:58]  leprochauninja: megacrit
[17:49:01]  leprochauninja: those cowards
[17:49:12]  leprochauninja: didn't program multiple relics
[17:50:24]  leprochauninja: mirror writhe for more clay value
[17:53:30]  leprochauninja: just kill him?
[17:53:38]  leprochauninja: the dummy value
[17:54:15]  leprochauninja: what ad
[17:55:47]  leprochauninja: I literally never get ads on twitch
[17:55:57]  leprochauninja: I have no idea why
[17:56:25]  leprochauninja: !sr https://www.youtube.com/watch?v=1ZW25hXzNV4
[17:56:25]  nightbot: @Leprochauninja -> "Little Dragon - Another Lover | A COLORS SHOW" by COLORS has been added to the queue in position #3
[17:58:27]  leprochauninja: skill pot is not guaranteed block
[17:58:45]  leprochauninja: holding arma for skill pot is cool
[18:01:08]  leprochauninja: it might get good
[18:01:12]  leprochauninja: but oh boy
[18:01:16]  leprochauninja: it's tough now
[18:01:55]  leprochauninja: barricade with clay and fan is neat
[18:02:00]  leprochauninja: you don't need to upgrade it
[18:02:05]  leprochauninja: you have arma
[18:02:21]  leprochauninja: no
[18:02:40]  leprochauninja: I'd honestly rather upgrade shockwave
[18:04:20]  leprochauninja: I think it can get better really quick, but it's always tough on the 3 energy
[18:05:14]  leprochauninja: barricade doesn't really help in the elite fights except maybe gremlin
[18:06:33]  leprochauninja: I'm glad you have a boot for each foot now
[18:09:06]  leprochauninja: kind of yeah
[18:09:21]  leprochauninja: it's also just really good
[18:14:14]  leprochauninja: why do you need sword boom
[18:14:22]  leprochauninja: why does anyone need sword boom
[18:18:51]  leprochauninja: optimal nunchaku stacking for the normal fight after this
[18:30:07] 37 raiders from vmService have joined!
[18:30:08]  captainfalcum: WIDECATJAM
[18:30:08]  nightbot: WARNING: This emote is unlisted. Either it hasn't yet been confirmed by a moderator, or the moderation team chose not to confirm this emote. As a result, we cannot guarantee it is safe to show on a livestream.
[18:30:13]  kakistocraces: Get raided!
[18:30:15]  vmservice: hi
[18:30:15]  apneaa: bwaaaaam
[18:30:17]  apneaa: nobbers
[18:30:19]  vmservice: i played 1 run
[18:30:20]  kingguppie: vmservGamer
[18:30:21]  apneaa: @vmService thanks for the live
[18:30:21]  bunhara: these alerts
[18:30:24]  bunhara: are so fucking l0oud
[18:30:24]  metalphilosopher: CATJAM
[18:30:30]  vmservice: brim clad gg
[18:30:34]  captainnoobzor: wow hi
[18:30:40]  captainfalcum: vm is new to spire from ROR community
[18:30:47]  captainfalcum: give them a :)
[18:30:47]  vmservice: vm is new to spire from ROR community
[18:30:53]  bunhara: stop your fucking clicking
[18:30:55]  apneaa: @CaptainNoobzor brimstone silent when?
[18:30:55]  bunhara: paparGun
[18:31:31]  a_snail_chosen_at_random: Gun
[18:31:33]  captainnoobzor: @apneaa holy
[18:31:33]  metalphilosopher: Cool to see you stream!
[18:31:34]  vmservice: i hit brim stone reaper and clicked cards and the enemies died
[18:31:35]  captainnoobzor: next stream for sure
[18:31:49]  captainfalcum: captain archetype giga chad
[18:32:31]  bunhara: vm, raid again
[18:32:43]  kurol__: CaptainFuckinNoobzor
[18:32:44]  vmservice: woah
[18:33:11]  captainfalcum: kuroiL kurorb
[18:33:11]  vmservice: i played ironclad
[18:33:13]  vmservice: KEKW
[18:33:20]  kurol__: Ironclad is the Engineer
[18:33:27]  vmservice: defect is engineer
[18:33:33]  metalphilosopher: Spanner
[18:33:43]  metalphilosopher: 🔧
[18:33:48]  vmservice: watch this
[18:33:55] 2 raiders from vmService have joined!
[18:34:04]  bunhara: monkaGIGA
[18:34:05]  vmservice: i played 1 ironclad run
[18:34:15]  vmservice: monkaGIGA
[18:34:18]  glint0: Oh shit its beardy
[18:34:22]  glint0: hows it goiin
[18:34:24]  apneaa: volume is good now
[18:34:26]  bunhara: its still gigaloud LUL
[18:34:30]  apneaa: still
[18:34:33]  apneaa: fairly loud
[18:34:36]  apneaa: but not as much
[18:34:42]  a_snail_chosen_at_random: someone donate to see if that's been fixed
[18:34:49]  vmservice: :)
[18:34:50]  bunhara: it was quieter yeah
[18:34:52]  apneaa: i think it reduced a litttle
[18:34:59]  glint0: @vmservice r u lifecoach lol
[18:35:06]  glint0: wrong message quoted lol
[18:35:09]  bunhara: r u lifecoach lol
[18:35:14]  glint0: ayo
[18:35:15]  vmservice: r u lifecoach lol
[18:35:22]  glint0: am i lifecoach lol
[18:35:32]  kakistocraces: r u glint0
[18:35:46]  apneaa: @vmService are u vmservice
[18:35:47]  apneaa: ?
[18:35:49]  vmservice: ?
[18:35:54]  glint0: chat is wild today and I love it
[18:35:55]  a_snail_chosen_at_random: we are all vmservice
[18:36:01]  apneaa: i'm not
[18:36:05]  vmservice: dkShame
[18:36:06]  apneaa: i'm his dog in mh rise tho
[18:36:08]  vmservice: true
[18:36:09]  apneaa: KomodoHype
[18:36:12]  vmservice: apneaa is my dog
[18:36:14]  a_snail_chosen_at_random: yes u are
[18:36:15]  bunhara: do not be vm service
[18:36:16]  vmservice: paparFlush
[18:36:16]  a_snail_chosen_at_random: gun
[18:36:24]  vmservice: paparGun
[18:36:25]  apneaa: @vmService yo dawg
[18:36:30]  kurol__: @glint0 r u lifecoach lol
[18:36:44]  glint0: paparGun
[18:36:54]  kurol__: Lifecoach hates the Defect
[18:36:57]  vmservice: woah
[18:36:59]  vmservice: i am lifecoach
[18:37:11]  apneaa: @KuroL__ lies coach loves the defect after his thailand vacations
[18:37:23]  vmservice: i love vacations
[18:37:35]  apneaa: i love soapy thai baths tourism
[18:37:38]  apneaa: KomodoHype
[18:37:47]  vmservice: monkaTOS
[18:37:53]  glint0: r u vacation lol
[18:38:28]  apneaa: coach should have lost the streak today
[18:38:38]  apneaa: but he's too much of a gamer
[18:38:44]  a_snail_chosen_at_random: he keeps playing in ways that can lose
[18:38:52]  a_snail_chosen_at_random: i wonder if it will ever catch up to him
[18:38:54]  apneaa: @a_snail_chosen_at_random watcher can lose
[18:39:00]  kurol__: Coach plays is weird
[18:39:00]  a_snail_chosen_at_random: no she can't
[18:39:01]  apneaa: but today was special
[18:39:06]  kakistocraces: what happened?
[18:39:14]  apneaa: today was micro mistake for 18 on floor 2
[18:39:15]  kurol__: He roasted Pitor for a 0.2% risk of ruin
[18:39:19]  vmservice: i wonder if this 50-0 thing will ever be completed
[18:39:22]  kurol__: And then take a more than 1%
[18:39:22]  vmservice: for will they just quit
[18:39:37]  apneaa: @vmService if they go at it for a year they will get it
[18:39:39]  glint0: "any take 24 to jaw wurm as silent"-ers in chat?
[18:39:42]  a_snail_chosen_at_random: if coach loses this streak i don't think it's happening this year
[18:40:21]  a_snail_chosen_at_random: the prodigal merl has abandoned
[18:40:37]  apneaa: i mean i have no idea who will take it
[18:40:53]  apneaa: but i'm fairly sure itwill happen
[18:40:58]  apneaa: the winrate is there for it
[18:41:14]  apneaa: coach did go 47-3 as like his first sample ever
[18:41:19]  apneaa: thats just the character
[18:41:29]  apneaa: if he stop throwing hard on floor 2
[18:41:33]  apneaa: he should be able to get it
[18:41:42]  a_snail_chosen_at_random: lc can do it for sure
[18:41:53]  a_snail_chosen_at_random: he plays like the highest quality combats in spire
[18:41:59]  a_snail_chosen_at_random: and his macro is obv solid
[18:42:04]  apneaa: but yeah lc play on watcher is like
[18:42:09]  apneaa: it's just the way he enjoy it
[18:42:11]  a_snail_chosen_at_random: but he sometimes just make mistake
[18:42:19]  vmservice: 39x2
[18:42:20]  vmservice: die
[18:42:37]  apneaa: @a_snail_chosen_at_random well the thing is also that watcher is strong enough to handle the micro mistakes too
[18:42:46]  a_snail_chosen_at_random: usually
[18:42:49]  apneaa: thats what is dumb about watcher and clad to a lot of peoples
[18:42:51]  a_snail_chosen_at_random: that's why 50 is hard
[18:42:56]  apneaa: but yeah 50
[18:43:00]  apneaa: he gotta keep it under control
[18:43:04]  apneaa: today should have lost
[18:43:23]  a_snail_chosen_at_random: in the past week he's been in position to die more than 10% like three different times i think
[18:43:36]  a_snail_chosen_at_random: if that keeps happening it will probably die
[18:43:50]  apneaa: i've seen merl be in outcomes that had a lot more than that on his previous one too
[18:43:57]  a_snail_chosen_at_random: yeah
[18:44:01]  apneaa: and of course the loss for merl was like
[18:44:09]  apneaa: almost unavoidable
[18:44:13]  apneaa: from his way of play
[18:44:17]  a_snail_chosen_at_random: merl's 26 wasn't great play to his standards
[18:44:22]  a_snail_chosen_at_random: it wasn't 50-0 quality
[18:44:29]  apneaa: it was better than his previous streak
[18:44:34]  apneaa: by a decent margin still
[18:44:39]  a_snail_chosen_at_random: i didn't watch his 38
[18:44:41]  apneaa: it's just not whathe know himself as
[18:45:03]  apneaa: like merl which he could perform at the best he can do today
[18:45:05]  a_snail_chosen_at_random: i also just enjoy merl stream a lot
[18:45:08]  a_snail_chosen_at_random: he's a good streamer
[18:45:10]  apneaa: thats why he is deisapointed
[18:45:27]  apneaa: but compared to the way he was playing back then
[18:45:28]  vmservice: marl
[18:45:36]  apneaa: he is just better now
[18:46:05]  a_snail_chosen_at_random: apneaa is teh god of spire
[18:46:07]  a_snail_chosen_at_random: apneaa is neow
[18:46:19]  apneaa: @a_snail_chosen_at_random i've just been here for a little too long monkaS
[18:46:25]  apneaa: i like keeping track
[18:46:27]  apneaa: monkaS
[18:46:30]  a_snail_chosen_at_random: being immortal does that
[18:46:35]  kakistocraces: merl live when?
[18:46:59]  apneaa: @a_snail_chosen_at_random just to be clear
[18:47:10]  apneaa: i highly agree that LC way of doing things will lead to a lot of deaths
[18:47:23]  apneaa: i just think it's sufficiently low enough
[18:47:28]  apneaa: that 50 is doable under a year
[18:47:33]  a_snail_chosen_at_random: i agree
[18:47:41]  a_snail_chosen_at_random: "this year" is only 5 months
[18:47:43]  apneaa: meanwhile merl might be a little better
[18:47:48]  apneaa: but he doesn't have the ability
[18:47:53]  apneaa: to pull out the hours for it
[18:47:56]  a_snail_chosen_at_random: so if this streak die i think it will take more than that
[18:47:59]  apneaa: and that just auto kills his shot
[18:48:15]  a_snail_chosen_at_random: lifecoach is a gamer
[18:48:16]  apneaa: @a_snail_chosen_at_random eh this streak was built in less than two weeks tho
[18:48:19]  a_snail_chosen_at_random: to his core
[18:48:25]  apneaa: if coach doesn't take a long break
[18:48:27]  apneaa: it will happen
[18:48:40]  a_snail_chosen_at_random: maybe
[18:48:54]  a_snail_chosen_at_random: if he lose the streak i'll bet you a gifted sub to cheg0 on it
[18:49:08]  apneaa: @a_snail_chosen_at_random i think he will loose the actual like
[18:49:10]  apneaa: streak now
[18:49:11]  apneaa: LUL
[18:49:20]  apneaa: i think he still need to do a few more cycles
[18:49:42]  apneaa: coach is the kind of "throw" and "throw" and then take break and come back stronger style
[18:49:45]  a_snail_chosen_at_random: do you want to take the bet if the streak end?
[18:50:00]  apneaa: i dont do bets, i have no money
[18:50:02]  apneaa: KomodoHype
[18:50:05]  a_snail_chosen_at_random: dang
[18:50:09]  apneaa: poor as fucking hell
[18:50:11]  a_snail_chosen_at_random: i only gamble with cheg0 gift subs
[18:50:20]  a_snail_chosen_at_random: not real money
[18:50:32]  captainfalcum: moneym59JACKIE
[18:50:35]  a_snail_chosen_at_random: i have gambled 25 cents in my life otherwise
[18:50:39]  captainfalcum: moneym59BELL
[18:50:44]  apneaa: @a_snail_chosen_at_random but yeah
[18:50:50]  apneaa: if coach does take a long break or something
[18:50:55]  apneaa: it might not happen within a year
[18:51:03]  apneaa: but if it's just week breaks like weve seen
[18:51:09]  kakistocraces: you should have more money since you know the word apnea.
[18:51:23]  a_snail_chosen_at_random: sleep apneaa monkaS
[18:51:32]  a_snail_chosen_at_random: when will marl return Sadge
[18:51:44]  apneaa: marl has serious motivation issue for spire
[18:51:53]  a_snail_chosen_at_random: that's what i figured
[18:52:04]  apneaa: already his first watcher streak he ended it because he was getting blasted from it
[18:52:28]  apneaa: you need to be like coach or maxxmaxx and be a thrill junky
[18:52:31]  apneaa: for those long streaks
[18:52:34]  kurol__: Thinking
[18:52:36]  kurol__: Puke
[18:52:43]  a_snail_chosen_at_random: i never got to watch maxxmaxx
[18:52:48]  kurol__: Beardy farming event monkaS
[18:52:51]  a_snail_chosen_at_random: before my time Sadge
[18:52:59]  apneaa: @a_snail_chosen_at_random he has a few runs on his youtube
[18:53:01]  apneaa: i streamed them
[18:53:04]  kurol__: maxxmaxx stream is very unique
[18:53:07]  apneaa: from his streak
[18:53:13]  apneaa: maxxmaxx is just better coach
[18:53:18]  apneaa: watcher wise
[18:53:23]  glint0: Ranwid just sold me a maw bank for 90 gold right before I was going to a shop
[18:53:26]  glint0: thanks ranwid
[18:53:28]  glint0: excellent work
[18:53:28]  kakistocraces: what about jorbs? no one mentions him.
[18:53:35]  vmservice: monka
[18:53:37]  apneaa: @kakistocraces jorb is jorb
[18:53:48]  apneaa: he's just jorbin
[18:54:03]  vmservice: what about cheg0? no one mentions him
[18:54:10]  apneaa: cheg0Pls
[18:54:17]  kurol__: cheg0 is
[18:54:20]  apneaa: @a_snail_chosen_at_random maxxmaxx did a few coops with merl too
[18:54:21]  kakistocraces: cheg0 so toxic
[18:54:26]  kurol__: The Jesus Christ of Slay the Spire
[18:54:30]  apneaa: when merl got his big streak he invited maxxmaxx for a coop
[18:54:39]  kurol__: cheg0 is fun
[18:54:39]  vmservice: cheg0 is mark wiens of spire
[18:54:43]  vmservice: NOBBERS
[18:54:47]  apneaa: maxx show up
[18:54:51]  apneaa: like a week ago
[18:54:52]  apneaa: in xecnar
[18:54:56]  apneaa: @Redbeardy_McGee
[18:55:07]  apneaa: he also occasionaly show up in dr0g stream
[18:55:12]  a_snail_chosen_at_random: what about snail? no one ever mentions her
[18:55:17]  vmservice: :l
[18:55:18]  zyzzyvivification: What about zyzzyvivification?
[18:55:21]  vmservice: snail coop happened
[18:55:24]  vmservice: Kreygasm
[18:55:24]  apneaa: snail is just shuffling cards
[18:55:25]  kurol__: I literally just mentioned them
[18:55:29]  kurol__: The shuffle
[18:55:34]  kurol__: The hunchback
[18:55:36]  apneaa: @zyzzyvivification they are just modding out in baalor chat
[18:55:44]  kurol__: They got it all Kreygasm
[18:55:45]  apneaa: oh wait thats zyzzy right there
[18:55:45]  zyzzyvivification: PridePog
[18:55:46]  apneaa: monkaS
[18:55:54]  vmservice: monkaS
[18:55:55]  zyzzyvivification: Banned!
[18:56:10]  apneaa: i remember zyzzy mod banning me in their chat
[18:56:10]  a_snail_chosen_at_random: @kurol__ monk
[18:56:13]  apneaa: that was a good time
[18:56:17]  kurol__: monk
[18:56:26]  a_snail_chosen_at_random: aS
[18:56:26]  vmservice: monk
[18:56:30]  kurol__: What if the shuffle sound is the sound of Taskmaster
[18:56:34]  kurol__: monka
[18:56:34]  vmservice: holy
[18:56:54]  a_snail_chosen_at_random: i don't understand how you can play spire without doing something with your hands
[18:56:55]  kurol__: New Snail lore just dropped
[18:57:00]  a_snail_chosen_at_random: if i'm not shuffling cards i cannot think
[18:57:30]  kurol__: I fitget my phone
[18:57:33]  apneaa: thats a trick question
[18:57:35]  zyzzyvivification: Have you tried owning a set of playing cards?
[18:57:37]  apneaa: beardy doesn't own anything
[18:57:45]  kurol__: I have a rubic cube that I can use but not needed
[18:57:54]  vmservice: "my fidget spinner!"
[18:57:55]  apneaa: oh no
[18:57:57]  vmservice: Kreygasm
[18:57:58]  a_snail_chosen_at_random: i could get a quieter fidget ig
[18:58:00]  apneaa: my fidget spiney
[18:58:08]  apneaa: where is that
[18:58:09]  kurol__: Well
[18:58:10]  apneaa: give me a sec
[18:58:11]  a_snail_chosen_at_random: if it makes the stream worse
[18:58:12]  kurol__: I dont mind the sound
[18:58:24]  kurol__: It just happens that my fidget thingy is not loud
[18:58:45]  a_snail_chosen_at_random: the silence is deafening monkaS
[18:58:49]  kurol__: To be fair
[18:58:54]  apneaa: vhttps://www.twitch.tv/merl61/clip/PoorEsteemedMangetoutDBstyle-j3URyO4ZdchoH-8h?filter=clips&range=all&sort=time
[18:59:01]  kurol__: A lot of player also just checking deck as a way to fidget
[18:59:10]  a_snail_chosen_at_random: that's true
[18:59:14]  kurol__: Checking deck clicking discard pile
[18:59:43]  vmservice: kuro is on the clip
[18:59:45]  vmservice: monkaS
[18:59:48]  sparklecrotchthottie: ahem
[18:59:53]  a_snail_chosen_at_random: kuro is in the walls
[18:59:53]  leprochauninja: they'll chill when they're dead
[18:59:54]  a_snail_chosen_at_random: monkaS
[19:00:05]  sparklecrotchthottie: AHEM
[19:00:08]  apneaa: wait
[19:00:12]  apneaa: WTF @vmService
[19:00:19]  apneaa: i actually didn't know kuro back then
[19:00:21]  apneaa: monkaS
[19:00:23]  vmservice: monkaS 󠀀
[19:00:31]  sparklecrotchthottie: bluecandle for choker value
[19:00:33]  apneaa: why is kuro in that clip
[19:00:35]  apneaa: monkaS
[19:00:46]  zyzzyvivification: Why not just Grand Finale?
[19:00:46]  a_snail_chosen_at_random: kuro wasn't born yet monkaS
[19:00:51]  apneaa: "hot Kreygasm " -kuro 2021
[19:01:26]  apneaa: because another thing about watcher streaks
[19:01:33]  apneaa: if merl doesn't throw his run back then
[19:01:39]  apneaa: who tf know how high it could have gone
[19:01:50]  a_snail_chosen_at_random: can't you headbutt twin strike pommel twin then feed
[19:02:00]  a_snail_chosen_at_random: that works
[19:02:20]  a_snail_chosen_at_random: oh
[19:02:23]  a_snail_chosen_at_random: ben nib is a myth
[19:02:29]  a_snail_chosen_at_random: flat pen nib theory
[19:02:38]  vmservice: flat ben
[19:03:09]  kurol__: monkaS
[19:03:09]  a_snail_chosen_at_random: !sr
[19:03:09]  nightbot: @a_snail_chosen_at_random -> You must specify a song to search for.
[19:03:14]  kurol__: hot Kreygasm
[19:03:15]  vmservice: !sr mine diamonds
[19:03:15]  a_snail_chosen_at_random: oh sr is on
[19:03:15]  nightbot: @vmService -> ""Mine Diamonds" Animated Music Video (2019)" by GarrettTheCarrot has been added to the queue in position #3
[19:03:17]  a_snail_chosen_at_random: inch resting
[19:03:19]  vmservice: #3
[19:04:19]  a_snail_chosen_at_random: !sr all i do is try my best glaive
[19:04:19]  nightbot: @a_snail_chosen_at_random -> "all i do is try my best" by glaive - Topic has been added to the queue in position #4
[19:04:39]  vmservice: all i do is mine
[19:04:45]  a_snail_chosen_at_random: inch resting=interesting
[19:04:48]  kakistocraces: !sr where is my mind pixies
[19:04:49]  nightbot: @kakistocraces -> "Pixies - Where Is My Mind? (Official Lyric Video)" by PixiesOfficial has been added to the queue in position #5
[19:04:51]  vmservice: !sr mineshaft of broken picks
[19:05:18]  vmservice: !sr mineshaft of broken picks\
[19:05:18]  nightbot: @vmService -> "MINESHAFT OF BROKEN PICKS | MINECRAFT PARODY OF BOULEVARD OF BROKEN DREAMS" by MineCraft Awesome Parodys has been added to the queue in position #6
[19:05:51]  vmservice: dork embrace
[19:06:33]  a_snail_chosen_at_random: loser embrace
[19:06:33]  vmservice: nice feed buddy
[19:07:34]  vmservice: mining away
[19:07:35] 1 raiders from b1llystyles313 have joined!
[19:07:55]  vmservice: mine diamonds
[19:07:55]  glint0: MY DIAMONDS
[19:08:06]  vmservice: LUL
[19:08:17]  kurol__: Perfect time to raid
[19:08:22]  vmservice: Kreygasm
[19:09:07]  jolbalrok: Stopping by to say hi before i pass out
[19:09:10]  b1llystyles313: good evening!
[19:10:14]  bunhara: abandon : l
[19:10:17]  b1llystyles313: yes just was working on trying to get some a20 heart runs going
[19:10:49]  b1llystyles313: the spire was more unforgiving tonight lol
[19:10:57]  sparklecrotchthottie: WHAT EVEN IS the sentinal artwork : l
[19:11:26]  sparklecrotchthottie: burp stab
[19:11:58]  bunhara: @sparklecrotchthottie its
[19:12:01]  bunhara: the sentinel
[19:12:10]  b1llystyles313: usually i just try to have fun with it but just tonight felt... off ya know?
[19:12:36]  bunhara: !sr what more can i say anderson paak
[19:12:36]  nightbot: @Bunhara -> "What More Can I Say" by Anderson .Paak - Topic has been added to the queue in position #4
[19:12:51]  leprochauninja: the community is still cool
[19:12:58]  vmservice: :l
[19:13:08]  bunhara: this community is so toxic and awful
[19:13:11] aidanyolo64 redeemed Patchy Beard Flex 250
[19:13:14]  vmservice: this community is so toxic and awful
[19:13:19]  bunhara: you should all be ashamed for promoting such a terrible community
[19:13:29] bunhara redeemed Clean Shave Flex 5000
[19:13:32]  vmservice: dkShame
[19:13:53]  bunhara: i would never
[19:14:00] vmservice redeemed Clean Shave Flex 5000
[19:14:03] vmservice redeemed Clean Shave Flex 5000
[19:14:05] vmservice redeemed Clean Shave Flex 5000
[19:14:07] vmservice redeemed Clean Shave Flex 5000
[19:14:18]  kurol__: Holy
[19:14:21] glint0 redeemed Neckbeard Flex 500
[19:14:31]  vmservice: wow
[19:14:34]  vmservice: unlucky
[19:14:46]  kurol__: I have 11k channel points only :(
[19:15:17]  a_snail_chosen_at_random: i am even more poor Sadge
[19:15:41]  vmservice: im back
[19:15:46]  vmservice: im here to record this one
[19:15:51]  kakistocraces: !currentsong
[19:15:51]  nightbot: @kakistocraces -> "MINESHAFT OF BROKEN PICKS | MINECRAFT PARODY OF BOULEVARD OF BROKEN DREAMS" by MineCraft Awesome Parodys is the current song. It was requested by vmService - https://youtu.be/qDvuB0Uz58M
[19:16:50]  vmservice: zombies
[19:17:09]  kakistocraces: zombie banger
[19:17:16]  vmservice: i fell into lava
[19:17:24]  kakistocraces: !sr cranberries zombie
[19:17:25]  nightbot: @kakistocraces -> "The Cranberries - Zombie 1999 Live Video" by NEA ZIXNH has been added to the queue in position #4
[19:17:36]  kakistocraces: ugh live version so bad.
[19:18:32]  kakistocraces: yes
[19:19:11]  kakistocraces: !sr https://www.youtube.com/watch?v=6Ejga4kJUts
[19:19:11]  nightbot: @kakistocraces -> "The Cranberries - Zombie (Official Music Video)" by TheCranberriesVEVO has been added to the queue in position #4
[19:19:30]  kakistocraces: ashes so fun
[19:20:56]  leprochauninja: it could be stronger though
[19:23:40]  rhetoricalanarchist: Clicked wrong I think
[19:24:39]  rhetoricalanarchist: The wrong elite fight
[19:24:56]  rhetoricalanarchist: It used your wing boot
[19:25:40]  glint0: we don't care
[19:25:53]  glint0: relic add winged_boots
[19:25:56]  kakistocraces: whoa. i dunno if our relationship will ever be the same if you did that.
[19:26:01]  kakistocraces: lol. j/k.
[19:26:15]  zyzzyvivification: Evaluate your use of Wing Boots in this run.
[19:32:09]  glint0: relic add winged_boots
[19:32:17]  glint0: or was it "relic give"
[19:32:21]  glint0: yeah tahts iut
[19:32:40]  glint0: oh, :(
[19:32:48]  glint0: try removing the boots twice and adding them?
[19:32:48]  apneaa: remove the first one?
[19:32:57]  zyzzyvivification: Save and quit?
[19:33:19]  apneaa: idk why that seemed like my instinct
[19:33:22]  zyzzyvivification: PridePog
[19:33:23]  apneaa: because it "should" work
[19:34:14]  rhetoricalanarchist: What is the shrine bug?
[19:35:30]  leprochauninja: shrine bug is forbidden knowledge
[19:36:45]  glint0: MATCH AND KEEP IS A SHRINE?!?!?!/
[19:36:48]  glint0: wtf mate
[19:37:00]  leprochauninja: no no no it's still forbidden knowledge
[19:37:01]  glint0: You're probably right
[19:37:06]  glint0: I'm just mad
[19:37:07]  leprochauninja: since the game does not tell you it does it
[19:37:08]  glint0: its such a bad event
[19:37:10]  kurol__: Match and Keep is a shrine
[19:37:17]  zyzzyvivification: Any event you can see in multiple acts is a shrine.
[19:37:38]  zyzzyvivification: Also some other events.
[19:38:25]  a_snail_chosen_at_random: amid sux
[19:38:34]  glint0: dup barricade
[19:38:38]  kurol__: Portal is act 3 only and is a shrine
[19:38:43]  zyzzyvivification: I don't have the full list in my head, but I'm fairly sure Joust is a shrine.
[19:38:53]  kurol__: Joust is a shrine
[19:38:56]  kurol__: Only act 2
[19:39:10]  glint0: This song slaps
[19:39:37]  kurol__: Well you can hit shrine 25% of the event chance
[19:46:54]  glint0: Setup speed matters more than madness value IMO
[19:48:18]  glint0: I have puzzle, blue candle, periapt, and emotion chip, and I just got the writhe curse event. ithink this might be the single best writhe I've ever had
[19:48:46]  glint0: Event gave me strawberry
[19:48:49]  vmservice: where duvu
[19:48:59]  glint0: @vmservice need to find duvu
[19:49:01]  glint0: yeah lol
[19:49:21]  glint0: got 2 relics, a mango and bag of prep
[19:49:23]  glint0: without having etiher
[19:50:51]  glint0: man I haven't heard this song in A LONG TIME
[19:50:55]  glint0: digging the playlist today
[19:51:32]  glint0: well your musical tastes are above mediocre
[19:51:39]  zyzzyvivification: Feed mastery!
[19:52:22]  leprochauninja: I've never requested a song in my life
[19:52:25]  leprochauninja: !sr https://www.youtube.com/watch?v=0v2nhMQmntE
[19:52:25]  nightbot: @Leprochauninja -> "YEBBA — Evergreen (Official Music Video) | Apple Music" by Apple Music has been added to the queue in position #3
[19:52:31]  glint0: Do we have a spiker solution tho
[19:52:54]  zyzzyvivification: !sr What's new pussycat
[19:52:55]  nightbot: @zyzzyvivification -> "What's New Pussycat?" by Tom Jones - Topic has been added to the queue in position #4
[19:53:21]  glint0: Also I have been taking clash in act 1 more lately and actually not hating it
[19:53:33]  leprochauninja: it's been like that the whole day
[19:53:36]  glint0: I had a transform into dual wield, and took a floor 1 clash, and it kinda game
[19:53:38]  glint0: d
[20:01:06]  apneaa: wait we doing sr
[20:01:58]  apneaa: !sr https://youtu.be/3HB_y9myl4M?list=OLAK5uy_nQE4D3FW9yRZ8YHp4EBfn-Q9nv83Ves4g
[20:01:59]  nightbot: @Apneaa -> "Arvan Khoyor Jil" by Khusugtun - Topic has been added to the queue in position #3
[20:02:50]  apneaa: !sr https://youtu.be/l-TNyw6J5n8?list=OLAK5uy_nUcbnDcdiQA0wIeC06s-4xI4lV65pW-PY
[20:02:51]  nightbot: @Apneaa -> "Word of Baatyr" by Altyn Tuu - Topic has been added to the queue in position #4
[20:06:34]  firstdane: FeelsGoodMan out of retirement forever
[20:08:59]  firstdane: feel no pain corruption dead branch would be good here
[20:10:35]  firstdane: HahaThink big brian time
[20:10:46]  paparatto18: amid
